id,nome,data_nascita,nazionalita
0,Hector Powell,1967-11-27,32
1,Meghan Castro,1986-07-15,28
2,Lisa Salinas,1963-05-30,76
3,Jennifer Aguirre,1992-04-12,38
4,Eric Monroe,1992-06-08,92
5,Charles Garcia,2000-04-25,35
6,Earl Gilbert,1947-03-16,80
7,Nancy Perez,1975-07-17,86
8,April Hunter,1943-01-09,103
9,Gabriel Crawford,1949-04-21,60
10,Tammy Todd,1949-04-11,90
11,Tammy Bowman,1997-12-20,11
12,Carla Turner,1996-12-14,76
13,Steven Mcknight,1934-09-04,73
14,Courtney Walters,1945-05-30,77
15,Kara Miller,1980-12-13,1
16,Tiffany Brown,1940-08-29,52
17,Janice Woodard,1941-01-19,89
18,Brian Merritt,1935-03-24,58
19,Lori King,1999-04-05,26
20,Kaitlyn Pruitt,1934-11-29,95
21,Nathan Lang,1973-05-31,32
22,Brooke Jones,1994-11-02,97
23,Kendra Beard,1962-03-05,55
24,Jerome Collier,1979-02-13,67
25,Margaret Rodriguez,1951-07-13,36
26,Justin Kirk,1938-01-15,35
27,Nicole Perry,1982-04-27,54
28,Anne Davis,1979-08-04,56
29,Richard Harrison,2003-12-17,76
30,Mark Hill,1941-07-12,69
31,Paul Bowman,1951-09-13,71
32,Kimberly Pittman,1983-08-27,58
33,Christine Smith,1938-11-15,15
34,Timothy Moore,1965-11-05,93
35,Stephanie Johnson,1942-11-27,64
36,Antonio Pearson,1999-04-06,61
37,Peter Walker,1997-02-18,45
38,Gary Powell,1973-07-03,58
39,Autumn Ritter,1945-01-31,28
40,James Strickland,1972-02-26,48
41,Jennifer Wilkins,1960-04-17,46
42,Donald Palmer,1969-10-15,65
43,Ryan Reid,1939-07-09,69
44,Tara Haynes,1986-08-08,26
45,Susan Farmer,1932-05-30,63
46,Diana Campbell,1979-12-05,19
47,Michael Townsend,1947-12-26,91
48,Michael Williams,1994-10-19,81
49,Amy Taylor,1949-08-30,62
50,John Johnson,1976-08-09,81
51,Melissa Mitchell,1999-05-13,10
52,Nicholas Brown,1967-01-28,66
53,Brent Bolton,1979-04-18,87
54,Brianna Anderson,1945-12-10,68
55,Kevin Miller,1958-12-14,39
56,Jacob Adkins,1999-10-24,74
57,Emily Williams,1981-12-29,52
58,Mason Lane,1950-04-02,14
59,Melissa Hull,1939-06-02,42
60,Peter Jarvis,1932-11-15,36
61,Jessica Miller,1984-05-14,57
62,Jennifer Young,1993-05-26,9
63,Gabriel Johnson,1959-06-26,47
64,Kristen Harmon,1993-07-29,20
65,Ernest Ramsey,1957-09-07,7
66,Lisa White,1937-02-14,76
67,Patrick Matthews,1961-06-27,17
68,Sandra Mcgrath,1999-02-05,25
69,Anna Carroll,1948-04-02,2
70,Erika Curtis,1936-09-12,47
71,Elizabeth Richards,1957-01-02,84
72,Tiffany Hughes,1996-10-25,83
73,Stacy Curtis,1941-06-12,77
74,Kelly Smith,1950-02-18,41
