id,nome,data_nascita,nazionalita
0,Dylan Serrano,1990-09-05,76
1,Daniel Castaneda,1994-08-02,11
2,David Stephens,1976-07-21,14
3,Morgan Hernandez,1998-04-16,23
4,Christine Mcguire,1985-09-09,24
5,Debra Miller,2003-06-15,39
6,Danielle Christian,1985-06-20,76
7,Stacey Bell,1977-01-01,46
8,Frank Reyes,1965-08-05,80
9,Veronica Beard,1967-04-14,89
10,Robert Garcia,2004-05-28,72
11,Rhonda Jensen,1971-09-28,66
12,Katrina Merritt,1966-08-26,65
13,Sandra Mayer,1991-03-20,96
14,James Powers,1997-08-04,46
15,Mark Ellis,1972-01-04,31
16,Tanya Johnson,1935-03-18,36
17,Tracy Gomez,1935-01-10,48
18,Justin Wagner,1957-11-22,7
19,Amy Garcia,1997-05-11,10
20,Daniel Sanchez,1991-06-24,70
21,Morgan Peters,2000-03-12,49
22,Cynthia Davis,2003-09-04,11
23,Theresa Hernandez,1945-12-05,52
24,Robert Luna,1979-02-01,83
25,Isaac Davis,1935-08-09,98
26,Benjamin Jones,1964-05-13,53
27,Julie Copeland,1951-02-07,63
28,Michael Rose,1964-05-01,97
29,Terri Miller,1997-05-23,52
30,Jeremy Haynes,1995-09-18,86
31,Tracy Phillips,1939-02-16,68
32,Hunter Howell,1983-12-06,89
33,Aimee Murphy,1982-11-21,91
34,Bobby Baker,1960-07-23,27
35,Mariah Scott,2004-05-21,16
36,Jeffrey Mills,1962-08-17,45
37,Sheri Le,1940-09-29,5
38,Mariah Kemp,2003-02-12,28
39,Nicole Young,1987-10-10,87
40,Joshua Riddle,2001-07-10,94
41,Donald Baldwin,1952-09-05,76
42,Amber Lam,1948-10-06,100
43,Cindy Garcia,1978-05-02,77
44,Mary Williams,1962-01-21,63
45,Elizabeth Bryant,2000-01-21,74
46,Kristina Fox,1987-05-01,12
47,Juan Davis,1995-01-25,33
48,Kristopher Casey,1939-06-28,16
49,Albert Moore,1958-03-26,57
50,Kevin Smith,1975-11-21,18
51,Cheyenne Mueller,1956-08-10,57
52,Tyler Todd,1996-07-16,11
53,Molly Holland,1948-11-29,96
54,Jennifer Castillo,1961-11-30,31
55,Amy Smith,1996-05-28,64
56,Ronald Morales,1977-08-02,42
57,Connie Reed,2001-06-27,42
58,Jennifer Johnson,1986-04-27,68
59,Kelly Boyd,1960-05-13,49
60,Claudia Estes,1956-12-04,75
61,Jessica Thornton,1940-09-25,73
62,Nicole Wheeler,1998-10-03,48
63,Michael Richmond,1942-09-28,3
64,Nicole White,1987-09-08,34
65,Maria Gonzalez,1966-09-14,24
66,Nicole Brown,1992-12-04,12
67,Crystal Oconnor,1948-02-22,100
68,John Turner,1994-12-23,28
69,Tracy Anderson,2004-09-09,91
70,April Smith,2000-04-25,48
71,Kevin Mitchell,1965-08-05,96
72,Mark Evans,1992-02-22,82
73,Michael Jackson,1955-06-09,3
74,Carrie Strickland,1996-06-14,68
75,Miss Cheyenne Henry,1993-09-08,15
76,Christopher Sampson,1967-05-15,79
77,Brittany Adams MD,1945-03-09,41
78,Drew Johnson,1937-02-18,99
79,Jessica Lopez,1991-02-22,42
80,Austin Jones,1975-02-13,4
81,Jennifer Landry,1998-07-06,6
82,Cynthia Burch,1977-07-06,36
83,John Brennan,1997-06-08,86
84,Justin Santiago,1940-12-08,41
85,Jennifer Randall MD,1951-07-01,45
86,Mary Schneider,1952-01-01,39
87,Lisa Beard,1962-10-13,9
88,Matthew Lindsey,1969-04-05,58
89,Elizabeth Gaines,1952-01-06,87
90,Patricia Miller,1992-07-21,61
91,Patrick Turner,2003-10-22,70
92,Thomas Ortiz,1932-08-28,87
93,Sarah Smith,2004-02-15,3
94,Bryan Ray,1998-07-05,44
95,Patricia Nelson,1939-10-13,3
96,Kirk Fisher,1974-08-03,101
97,Charles Austin,2002-12-12,83
98,Roger Henderson,1969-02-05,13
99,Donna Berg,1988-05-16,28
100,Taylor Santiago,1968-12-10,5
101,Maria Johnson,1985-11-30,22
102,Randall Leon,1944-03-04,21
103,Jenna Young,1979-05-29,49
104,John Morris,2001-06-15,69
105,Jeffrey Guerrero,1962-06-12,11
106,Deanna Andrews,1969-06-22,42
107,Melissa Turner,1993-03-27,12
108,Daniel Lee,2003-03-27,22
109,Robert Ryan,1948-07-08,35
110,Sean Miller,1968-02-15,27
111,Scott Perkins,1986-06-14,76
112,Tiffany Dean,1980-03-19,43
113,Ashley Adams,1957-10-27,63
114,Sara Khan,1952-08-06,4
115,Charles Campbell,1949-06-06,34
116,Monica Morgan,1942-04-05,75
117,Amy Jones,1943-10-11,82
118,Katelyn White,1947-07-28,11
119,Stephanie Jenkins,1937-06-20,38
120,Caleb Booth,1953-09-15,81
121,Karen Salas,1982-10-19,54
122,Kyle Morse,1974-05-03,91
123,Andrew Shepherd,1996-04-24,67
124,Brandi Holmes,1941-02-09,63
125,Lorraine Hurley,1996-12-25,4
126,Brandon Carey,1953-09-21,22
127,Stephen Ramos,1992-08-02,72
128,Chad Pitts,1999-03-26,23
129,Amanda Cowan,1986-05-31,91
130,Anthony Hernandez,1955-06-04,44
131,Anita Douglas,1946-09-03,84
132,Jacob Duke,1964-06-03,20
133,Gregory Petty,1951-05-27,78
134,Mr. William Allen,1981-03-16,11
135,Nicholas Aguilar,1999-05-13,79
136,Jonathon Wilson,1959-05-25,2
137,Emily Velazquez,1976-08-27,39
138,Karen Parker,1993-10-15,78
139,Heather Patel,1992-07-16,41
140,Donald Williams,1960-03-05,39
141,Teresa Luna,1993-03-08,60
142,Melinda Rodgers,1966-11-30,90
143,Bradley Harvey,1981-04-14,68
144,Jennifer Ramirez,1974-04-01,15
145,Robert Matthews,1932-08-26,14
146,David Gonzalez,1983-08-22,20
147,Vanessa Vasquez,1956-04-24,28
148,Richard Roberts,1992-04-05,48
149,Mark Lin,1949-09-12,47
150,Emily Thomas,1952-02-13,45
151,Nicole Bright,1980-04-20,26
152,Jeffrey Palmer,1972-06-08,79
153,Karen Gay,1949-12-21,85
154,Gabriel Mcgee,1993-03-01,60
155,Kristen Porter,1965-08-25,79
156,Crystal Evans,2001-11-09,83
157,Keith Lowe,1983-06-23,71
158,Michelle Irwin,1939-01-26,4
159,Mary James,1947-10-08,99
160,Bonnie Moore,1976-12-21,72
161,Abigail Romero,1961-11-28,89
162,Margaret Thompson,1948-01-03,73
163,Christopher Moore,1942-11-11,100
164,Brian Perry,1983-01-22,24
165,Joseph Smith,1950-02-08,97
166,Joseph Park,1935-05-29,46
167,Joe Jones,1945-04-30,8
